"NIH Print Exchange (n=217), Printables (n=340), Thingiverse (n=754)"	Design Name
https://3dprint.nih.gov/discover/3dpx-014293	Microcentrifuge Tube Adapter
https://3dprint.nih.gov/discover/3dpx-014294	NMR Tube Adapter
https://3dprint.nih.gov/discover/3dpx-014296	Test Tube Adapter
https://3dprint.nih.gov/discover/3dpx-014334	Vial Cuvette Adapter
https://3dprint.nih.gov/discover/3dpx-014498	Filter Adapter for a Digital Microscope Camera
https://3dprint.nih.gov/discover/3dpx-014683	Hand-Powered Centrifuge
https://3dprint.nih.gov/discover/3dpx-014701	Re-usable Microtome Tissue Embedding Mold and Base
https://3dprint.nih.gov/discover/3dpx-014964	8 Row Magnetic Rack
https://3dprint.nih.gov/discover/3dpx-015527	Microplate adapter for GFL shakers
https://3dprint.nih.gov/discover/3dpx-015771	Casting Frame
https://3dprint.nih.gov/discover/3dpx-015772	Two-Layer Eppendorf Holder
https://3dprint.nih.gov/discover/3dpx-015775	V2_Casting Frame
https://3dprint.nih.gov/discover/3dpx-015808	Centrifuge Spin Adapter for Face Down Multi-Well Plates
https://3dprint.nih.gov/discover/3dpx-015956	Float Rack and Imaging System for LAMP Assay
https://3dprint.nih.gov/discover/3dpx-015995	Shelf for freezer bins/boxes
https://3dprint.nih.gov/discover/3dpx-016113	25mm Round Coverslip Holder
https://3dprint.nih.gov/discover/3dpx-016137	Scintillation Vile Centrifuge Insert
https://3dprint.nih.gov/discover/3dpx-016293	MOD3D System of Live Cell Chambers for microscopy
https://3dprint.nih.gov/discover/3dpx-016424	Arctic White filter place centrifuge adapter
https://3dprint.nih.gov/discover/3dpx-016489	Tools for assembling photoacoustic image quality test phantoms
https://3dprint.nih.gov/discover/3dpx-016940	Vial sorting aides
https://3dprint.nih.gov/discover/3dpx-017024	SDS-PAGE 0.75mm Gel Comb Remix
https://3dprint.nih.gov/discover/3dpx-017331	1.5ml Tube Magnet Rack
https://3dprint.nih.gov/discover/3dpx-017454	384 to 96-format Plate Adaptor
https://3dprint.nih.gov/discover/3dpx-017500	3D printed calipers
https://3dprint.nih.gov/discover/3dpx-017530	Mobilefuge
https://3dprint.nih.gov/discover/3dpx-017560	6-well inserts and insert holder (IHC)
https://www.printables.com/model/100039-petri-dish-rack	Petri Dish Rack by Be Me
https://www.printables.com/model/100382-petri-dish-rack-low-material-9-x-90-mm	Petri Dish Rack Low Material 9 x 90 mm by JonoRig
https://www.printables.com/model/100383-petri-dish-rack-square-9-x-90-mm	Petri Dish Rack Square 9 x 90 mm by JonoRig
https://www.printables.com/model/100384-petri-dish-rack-9-x-90mm-plates	"Petri Dish Rack, 9 x 90mm Plates by JonoRig"
https://www.printables.com/model/101367-magnatic-stirrer	Magnatic Stirrer by Max Siebenschläfer
https://www.printables.com/model/103753-diy-10-laser-microscope-microscopio-laser-casero-8	DIY 10$ LASER Microscope - Microscopio LASER casero 8€ by Pinillos
https://www.printables.com/model/104339-24-well-plates	24 well plates by Dr_Froggy_rD
https://www.printables.com/model/106100-diy-atx-lab-bench-power-supply	DIY ATX Lab Bench Power Supply by sg_dev
https://www.printables.com/model/1068-configurable-rack-for-hplc-and-other-vials	Configurable rack for HPLC and other vials by Dale
https://www.printables.com/model/107197-drying-rack-for-small-lab-tools	Drying rack for small lab tools by EgonHeuson
https://www.printables.com/model/107277-pipette-pipette-tip-and-test-tube-stand	"Pipette, pipette tip and test tube stand by the_tro"
https://www.printables.com/model/107598-petri-dishes	Petri dishes by Julien
https://www.printables.com/model/107707-magnet-stirrer-for-electric-drill	Magnet Stirrer for electric drill by Be Me
https://www.printables.com/model/111308-test-tube-peg-rack-customizable	Test tube peg rack (customizable) by MaverickTse
https://www.printables.com/model/113776-precision-applicator	Precision applicator by Jack
https://www.printables.com/model/114116-tube-rack	Tube Rack by DocMike
https://www.printables.com/model/114272-ball-mill	Ball Mill by Lucasfrit
https://www.printables.com/model/114308-sorting-tray-with-funnel	Sorting Tray with Funnel by Area51
https://www.printables.com/model/114530-millennium-falcon-tube-holder-improved	Millennium Falcon Tube Holder (improved) by AtomicVirology
https://www.printables.com/model/115306-sem-stub-holders-electron-microscopy	SEM stub holders (Electron Microscopy) by vsaggiomo
https://www.printables.com/model/115453-cuvette-holder-rack-10-cuvettes	Cuvette holder / rack (10 cuvettes) by vsaggiomo
https://www.printables.com/model/115454-organ-nmr-tube-holder	Organ NMR tube holder by vsaggiomo
https://www.printables.com/model/117306-micropipette-holder-socorex-acura-825	Micropipette holder (Socorex ACURA 825) by Lorro
https://www.printables.com/model/121917-dsc-crucible-holder-with-numbered-cavities	DSC Crucible Holder with numbered cavities by B3rnd8
https://www.printables.com/model/12290-swann-morton-scalpel-blade-extractor-single-and-bo	Swann Morton scalpel blade extractor (single and box) by M600
https://www.printables.com/model/123448-clutch-gripper-mount	clutch gripper mount by Maschinist RaumZeitPiraten
https://www.printables.com/model/123685-laboratory-clamp	laboratory clamp by Maschinist RaumZeitPiraten
https://www.printables.com/model/124389-cable-tag-set	Cable Tag Set by Alego
https://www.printables.com/model/124492-15ml-tube-rack-small-8-x-6	15ml Tube Rack (Small - 8 x 6) by moyerek
https://www.printables.com/model/124812-lab-tool-holder	Lab Tool Holder by Engineer3DGeek
https://www.printables.com/model/126010-test-tube-label-clip	Test tube label clip by MaverickTse
https://www.printables.com/model/126139-jaws-nmr-holder	JAWS NMR Holder by vsaggiomo
https://www.printables.com/model/126610-wz5005-power-supply	WZ5005 Power supply by Yanev
https://www.printables.com/model/126650-microplate-adapter-for-tristar2-multimode-reader-l	Microplate adapter for Tristar2 Multimode Reader LB942 by Marius Mihasan
https://www.printables.com/model/126655-vortex-genie-2-attachments-for-bead-beating	Vortex Genie 2 Attachments for bead beating by Marius Mihasan
https://www.printables.com/model/126805-microplate-adapter-for-gfl-shakers	Microplate adapter for GFL shakers by Marius Mihasan
https://www.printables.com/model/127740-ultimate-laboratory-bench-organizer	Ultimate Laboratory Bench Organizer by vsaggiomo
https://www.printables.com/model/128013-tube-adaptor-15-ml-to-5-ml-for-akta-start	Tube adaptor (15 mL to 5 mL) for AKTA Start by AtomicVirology
https://www.printables.com/model/128047-ja-2550-tube-holder	JA-25.50 tube holder by AtomicVirology
https://www.printables.com/model/128061-50-ml-falcon-tube-holder	50 mL Falcon Tube Holder by AtomicVirology
https://www.printables.com/model/128219-15-ml-falcon-tube-holder	15 mL Falcon tube holder by AtomicVirology
https://www.printables.com/model/128545-150mm-crystalizing-dish-grate	150mm Crystalizing Dish Grate by biscuitless
https://www.printables.com/model/128546-150mm-crystalizing-dish-magnetic-stirrer-cover	150mm Crystalizing Dish Magnetic Stirrer Cover by biscuitless
https://www.printables.com/model/129085-microscope-slide-stainer	Microscope Slide Stainer by Greg
https://www.printables.com/model/129795-3d-printed-diy-cnc-dremel-cnc-remix	3D Printed DIY CNC - Dremel CNC Remix by Aviran_N
https://www.printables.com/model/129838-tape-dispenser-multi-sizemodular	"Tape Dispenser, Multi-size/Modular by Miguel M."
https://www.printables.com/model/131190-bike-particle-accelerator	Bike Particle Accelerator by vsaggiomo
https://www.printables.com/model/131315-dsc-crucible-holder-with-numbered-cavities-mmu-ver	DSC Crucible Holder with numbered cavities MMU-version by B3rnd8
https://www.printables.com/model/131833-orbital-shaker-diybio	Orbital Shaker DIYBio by dkrider
https://www.printables.com/model/131991-parametric-microscope-slide-holder	Parametric microscope slide holder by CGrassin
https://www.printables.com/model/132083-adjustable-lab-stand-with-clamp	Adjustable Lab Stand with Clamp by APPSolute
https://www.printables.com/model/132236-case-for-stc-100-temperature-controller	Case for STC-100 Temperature Controller by LoboCNC
https://www.printables.com/model/132488-remix-kirby-fume-extractor-for-9v-and-a-60x60mm-fa	Remix Kirby Fume Extractor for 9V and a 60x60mm fan by genos
